Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis
Inception,Sci-Fi,8.7,2002,Bryan Singer,Michael Fassbender,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
John Wick: Chapter 4,Drama,9.2,2011,Steven Spielberg,Keanu Reeves,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Django Unchained,Fantasy,7.1,1997,Patty Jenkins,Brad Pitt,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
X-Men: First Class,Drama,8.6,1989,Denis Villeneuve,Tom Hanks,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Tron: Legacy,Comedy,7.9,1986,J.J. Abrams,Robert Downey Jr.,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
The Shining,Sci-Fi,9.4,2008,Zack Snyder,Jennifer Lawrence,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Star Wars: A New Hope,Action,9.1,2024,James Cameron,Viola Davis,"A gripping tale of adventure and mystery, following a Action journey like never before."
Paranormal Activity,Sci-Fi,5.6,2009,Greta Gerwig,Chris Pratt,A thought-provoking Sci-Fi film that challenges perceptions of reality.
The Shawshank Redemption,Comedy,8.4,2016,Francis Ford Coppola,Natalie Portman,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
The Ring,Adventure,7.9,1990,George Lucas,Benedict Cumberbatch,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue."
Frozen,Animation,6.3,2004,David Fincher,Angelina Jolie,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Harry Potter and the Prisoner of Azkaban,Action,7.0,2010,Peter Jackson,Jennifer Lawrence,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Looper,Thriller,5.5,2008,Stanley Kubrick,Christian Bale,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
Scream,Horror,8.3,2010,Guillermo del Toro,Leonardo DiCaprio,A mesmerizing Horror story that explores the depths of human emotions and resilience.
Star Wars: The Rise of Skywalker,Action,7.1,1983,Guillermo del Toro,Anne Hathaway,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Gravity,Fantasy,5.8,2002,James Cameron,Tom Cruise,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Nobody,Action,7.3,1990,Bryan Singer,Will Smith,A mesmerizing Action story that explores the depths of human emotions and resilience.
The Ring,Animation,8.8,2000,M. Night Shyamalan,Jennifer Lawrence,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Bohemian Rhapsody,Romance,6.8,1992,Paul Thomas Anderson,Joaquin Phoenix,"A thrilling mix of Romance and action, packed with stunning visuals and unforgettable moments."
Dumbo,Romance,5.5,2006,Quentin Tarantino,Robert Downey Jr.,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
Nobody,Comedy,6.1,2023,Guy Ritchie,Johnny Depp,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Venom,Drama,5.2,1985,Guillermo del Toro,Charlize Theron,An intense Drama drama that keeps you on the edge of your seat.
John Wick: Chapter 4,Action,5.8,2020,M. Night Shyamalan,Benedict Cumberbatch,An intense Action drama that keeps you on the edge of your seat.
Bambi,Drama,5.2,1983,David Fincher,Chris Hemsworth,An intense Drama drama that keeps you on the edge of your seat.
Wanted,Action,9.0,2007,J.J. Abrams,Benedict Cumberbatch,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Doctor Strange,Fantasy,5.9,2024,Patty Jenkins,Denzel Washington,An intense Fantasy drama that keeps you on the edge of your seat.
Scott Pilgrim vs. the World,Horror,7.9,2013,James Cameron,Matt Damon,An intense Horror drama that keeps you on the edge of your seat.
The Flash,Romance,9.5,1988,David Fincher,Robert Downey Jr.,A thought-provoking Romance film that challenges perceptions of reality.
Joker,Action,7.8,1992,Ridley Scott,Jake Gyllenhaal,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
The Thing,Drama,7.9,2006,Guillermo del Toro,Anne Hathaway,An intense Drama drama that keeps you on the edge of your seat.
Logan,Horror,7.9,1992,Peter Jackson,Jennifer Lawrence,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Harry Potter and the Deathly Hallows: Part 2,Drama,5.0,2006,Steven Spielberg,Denzel Washington,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
The Old Guard,Romance,7.7,1995,Martin Scorsese,Joaquin Phoenix,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Cars 3,Horror,9.1,2017,Bryan Singer,Gal Gadot,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Ex Machina,Fantasy,7.7,2018,Steven Spielberg,Angelina Jolie,A thought-provoking Fantasy film that challenges perceptions of reality.
The Avengers,Horror,9.2,1987,Peter Jackson,Joaquin Phoenix,An intense Horror drama that keeps you on the edge of your seat.
Saving Private Ryan,Adventure,6.2,1996,Stanley Kubrick,Chris Pratt,An intense Adventure drama that keeps you on the edge of your seat.
Onward,Romance,5.7,2010,Spike Lee,Tom Hanks,An intense Romance drama that keeps you on the edge of your seat.
Wall-E,Action,5.9,1991,Francis Ford Coppola,Natalie Portman,An intense Action drama that keeps you on the edge of your seat.
Luca,Romance,9.5,2013,Coen Brothers,Scarlett Johansson,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
Cars 2,Thriller,7.7,2008,Guy Ritchie,Jake Gyllenhaal,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Harry Potter and the Deathly Hallows: Part 2,Romance,5.0,1995,Martin Scorsese,Tom Cruise,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Soul,Comedy,8.9,2012,George Lucas,Daniel Day-Lewis,An intense Comedy drama that keeps you on the edge of your seat.
The Irishman,Fantasy,5.7,2008,James Cameron,Chris Hemsworth,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
The Fifth Element,Adventure,5.2,2003,Guillermo del Toro,Will Smith,An intense Adventure drama that keeps you on the edge of your seat.
Wonder Woman,Fantasy,7.8,2020,Coen Brothers,Viola Davis,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Ratatouille,Comedy,6.1,2016,Guy Ritchie,Matt Damon,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
X-Men: Apocalypse,Thriller,8.0,1993,Taika Waititi,Michael Fassbender,A mesmerizing Thriller story that explores the depths of human emotions and resilience.
American Psycho,Adventure,9.1,1995,Paul Thomas Anderson,Emma Stone,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue."
John Wick: Chapter 2,Comedy,7.9,2020,Patty Jenkins,Tom Cruise,An intense Comedy drama that keeps you on the edge of your seat.
Spider-Man: No Way Home,Comedy,9.0,1990,Denis Villeneuve,Denzel Washington,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Star Wars: The Last Jedi,Animation,6.8,2023,Taika Waititi,Joaquin Phoenix,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments."
2001: A Space Odyssey,Action,9.0,2011,Damien Chazelle,Keanu Reeves,A mesmerizing Action story that explores the depths of human emotions and resilience.
Atomic Blonde,Thriller,8.0,1986,Ridley Scott,Scarlett Johansson,A mesmerizing Thriller story that explores the depths of human emotions and resilience.
Iron Man,Comedy,6.7,2010,Peter Jackson,Chris Pratt,An intense Comedy drama that keeps you on the edge of your seat.
The Shawshank Redemption,Sci-Fi,8.7,1981,Guillermo del Toro,Chris Hemsworth,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
The Blair Witch Project,Fantasy,5.4,2013,Francis Ford Coppola,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
Zodiac,Fantasy,5.1,2018,Quentin Tarantino,Will Smith,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Soul,Fantasy,7.6,1984,Peter Jackson,Jennifer Lawrence,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Beauty and the Beast,Comedy,5.3,1991,Paul Thomas Anderson,Will Smith,An intense Comedy drama that keeps you on the edge of your seat.
Annabelle,Animation,8.9,1984,Tim Burton,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Sunshine,Fantasy,9.4,2020,M. Night Shyamalan,Chris Hemsworth,A thought-provoking Fantasy film that challenges perceptions of reality.
Gravity,Sci-Fi,6.1,2023,Jon Favreau,Viola Davis,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Toy Story 2,Comedy,6.2,1985,James Cameron,Emma Stone,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
Frozen II,Thriller,5.9,2003,Stanley Kubrick,Christian Bale,An intense Thriller drama that keeps you on the edge of your seat.
Aladdin,Sci-Fi,6.8,1981,Bryan Singer,Anne Hathaway,An intense Sci-Fi drama that keeps you on the edge of your seat.
